Percent_CC,Percent_DC
6.012864204,0.011618672
3.934276784,0.460448128
2.687789842,0.025692231
4.933115117,1.374891661
4.602951374,1.415986099
1.13481311,4.353293335
2.543063256,2.317951152
2.461407943,0.354490905
0.991431405,0.114145786
4.364390853,0.514113794
1.300502366,2.087436774
4.783805067,1.432135944
1.681584232,0
2.967489842,1.464622144
3.418332028,0.795215246
1.226499882,0.479363993
0.847116385,2.915445335
1.460903623,0
4.196377958,0.195289933
3.309347484,1.385454042
3.166347614,2.64988121
1.771822611,0.83920275
1.867532613,1.411633327
2.826441828,0.761498634
1.529244409,1.337884534
1.648790796,2.796856742
1.521949541,1.493802692
3.069764118,0
1.461020947,0.532010321
6.097882755,2.614337148
5.289971683,0.285130568
2.869129277,0.437473201
5.989953292,3.04831939
3.25273203,0
3.051254419,0.249599257
4.259975209,0.003122609
1.511304924,0.179058193
2.986442344,1.791816075
1.217048553,0.990910694
4.840440289,1.388849341
1.758823583,0.672197556
2.761195568,1.767290994
1.563587193,0.915613213
3.051603401,0.659007141
3.171868071,1.252091353
3.390133383,0.5838685
1.995960325,1.521454448
5.078205807,0.508837068
5.108697255,1.735016189
3.319451601,0
1.787685428,1.333775904
4.769233518,0.33394602
1.424126795,3.252998865
3.334225826,0.065673677
2.6503281,1.612300414
2.127728252,1.497743809
1.895508349,0.527129003
1.806790633,0.739230567
3.733569299,1.913898138
1.234940697,2.709294639
3.418126095,1.334665516
0.743276481,7.800220422
3.206274522,0
6.310891713,0
2.716125282,0.652948137
1.833559451,3.727557674
0.659445076,5.328634619
2.628116124,3.871096371
2.052449827,0.596693636
1.436806664,1.584720197
2.038283951,0
4.175956165,2.77437646
1.566072502,0.927438785
5.236177644,0.633948817
1.411760062,1.298437199
7.380982442,0.468827138
3.529207986,2.201063091
3.320319043,0
1.887834193,0.385796881
4.101030424,0.094776394
3.373157009,0
1.69249376,0.884002496
3.835625121,2.000107956
0.472854315,2.919583105
1.81004157,0.138601037
3.880883037,0.371928439
3.501987356,0
5.174429685,0.090505896
1.526341392,0.710854692
3.905355676,0
2.8050941,0.101521351
0.679457232,0.842227976
4.439341092,1.445654526
1.01926576,1.375074373
4.252734493,0.511777097
0.691994622,0.673080788
4.32212988,0.122738594
3.30690504,0
3.605098421,0.468514096
3.489593997,0.28983954
3.338015041,0.277257982
0.927434546,0
4.297396548,0.358774249
2.792056562,0.560429037
1.504129233,2.115716178
1.724279793,0.844400897
1.669279777,1.598086604
1.552241288,2.346456228
1.332375589,0.695325966
2.409943341,0.850082968
7.494718308,0.030126197
5.858842414,4.1205272
1.977182518,3.579832704
2.137564391,1.639245466
3.39263972,0
2.627507582,1.20301444
8.08268737,0.633566497
1.062276598,5.413050577
2.117094824,0.160501758
0.362395101,7.250793681
6.747352676,0.091044142
1.796626579,2.186702588
4.833678848,1.534344378
1.561739482,0.248071555
8.049533784,2.049087431
1.474753325,2.188205764
4.736234399,0.240182801
0.991032663,1.403511074
5.429064643,0
5.169025942,0.646231492
2.658115215,0.742990313
2.896023272,0.551955947
2.011194126,1.645992385
1.475701672,0.306999165
2.195443348,3.171356718
2.508588272,0.507835584
4.425690025,0
1.410756336,0.398115981
4.606086168,0.952951272
2.453407565,1.312536637
2.437485157,0.425918246
1.458116899,0.721155395
3.468086106,0.232959457
4.968789794,0.286644799
5.21290777,0.571822506
1.554397827,2.088503446
1.701326221,1.704689599
1.490444767,0.09607052
1.289271494,0.01331579
3.996406839,0.738070978
3.206609373,4.631162778
1.641974997,1.599286905
3.81366145,1.407682818
0.205631907,4.047839313
6.36859147,0.057185658
2.656376058,2.013429438
0.853182697,4.471602199
1.304438402,1.189336315
4.948052966,4.584743029
1.743043682,1.962614481
1.093940518,1.190521132
1.43658093,0.163077207
2.271510242,0
4.717065845,0.681331649
3.213134581,0.851978154
5.058791607,2.039555213
1.585735271,0
5.292747991,0.081546297
2.879556406,2.093355206
2.831070983,0.412159703
2.672742343,2.726128974
1.564275961,1.38930205
0.926857893,0.482990558
2.853017407,4.541818613
1.740650623,0.096141222
2.015837011,0.100680862
1.799888194,0
1.122439113,1.720352166
1.565113559,0.997216335
1.070135542,0.567125169
1.408856635,0.114995462
3.10818191,0.790128098
4.559311122,0.784029488
3.371628402,0.923378635
1.762942412,1.950017996
0.836433931,6.61978006
1.090991241,0.637146335
1.545279407,2.191337766
3.977496739,0.046608474
3.77731346,0.686493201
8.628313047,0.19476766
1.240557535,5.894828617
2.257468386,0.153684989
1.98294978,0.045181398
4.860022948,1.574788952
5.011793238,0.824974006
3.276066659,0.498453729
1.540480336,2.328723823
3.172321057,0.126150022
3.220868532,0.192040865
2.294075053,3.039507123
1.426322403,1.279034859
2.525974639,0.912614592
1.868143061,0.624089456
4.487290382,0
2.439161268,0.832678945
2.574017555,1.172026758
2.724607857,1.345738546
3.342818382,0.999422259
2.073255697,0.064221339
3.505340337,3.600295492
8.591994386,0.609999213
0.652538011,3.527413963
2.274118353,0.151222579
0.729709175,4.563696196
5.898095608,0.514423768
4.978322879,0.241731964
2.404720662,0.372738645
4.414528719,1.376010088
7.064267673,0.799541564
3.238190921,0.781494005
1.592606269,0.024887708
1.342550647,0.492191888
3.792792832,0.202756492
2.024612976,0
1.818876821,0.906183898
3.353014665,0
3.437482368,0.018644578
1.266542612,0.13139161
3.842695557,0.666462915
2.115286552,0.486600998
1.125901989,2.20305694
1.885015339,6.359593135
6.646629383,1.166143329
2.318958036,1.514474544
4.109686956,0.427944386
1.18068869,6.096143654
1.634354376,1.686751435
1.451812999,1.054975767
1.1185756,2.252209704
3.439116492,1.56859843
3.082192015,1.086494883
2.248580438,2.651997592
2.069751966,1.352004142
2.968375086,0.42454659
1.988714242,0.479121498
2.607779479,10.19618592
